,genero,idade,idade_parceiro,raa,raa_parceiro,Mesma raa?,importancia_mesma_raca,importancia_mesma_religiao,formao,pref_parceiro_atratividade,pref_parceiro_sinceridade,pref_parceiro_inteligencia,pref_parceiro_engracado,pref_parceiro_ambicao,pref_parceiro_interessescomuns,avaliacao_atratividade,avaliacao_sinceridade,avaliacao_inteligencia,avaliacao_engracado,avaliacao_ambicao,avaliacao_interessescomuns,busco_atratividade,busco_sinceridade,busco_inteligencia,busco_engracado,busco_ambicao,busco_interessescomuns,sou_atrativo,sou_sincero,sou_inteligente,sou_engracado,sou_ambicioso,parceiro_atrativo,parceiro_sincero,parceiro_inteligente,parceiro_engracado,parceiro_ambicioso,interessescomunsparceiro,esportes,esportes_tv,exercicio,jantares,museus,arte,trilhas,videogames,leitura,tv,teatro,filmes,shows,musica,shopping,yoga,correlacao_interesses,expectativas,quantos_acho_vao_gostar_demim,quantos_matches_acho_terei,gostou_parceiro,parceiro_gostou_demim_acho,conhecia_parceiro,decisao,decisao_parceiro,match
20,b'female',25,27,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,4,b'Economics',35,20,20,20,0,5,7,8,6,5,8,4,35,10,35,10,10,0,8,9,8,9,8,7,9,10,7,8,9,3,8,7,8,5,5,8,4,7,8,7,7,7,5,8,7,-0.24,4,2,,8,7,1,b'0',b'0',nao
21,b'female',25,22,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,4,b'Economics',60,0,0,40,0,0,6,7,10,6,6,5,35,10,35,10,10,0,8,9,8,9,8,9,7,9,8,9,7,3,8,7,8,5,5,8,4,7,8,7,7,7,5,8,7,-0.14,4,2,,8,7,0,b'0',b'0',nao
22,b'female',25,22,b'European/Caucasian-American',b'Asian/Pacific Islander/Asian-American',b'0',8,4,b'Economics',19,18,19,18,14,12,10,10,10,10,10,10,35,10,35,10,10,0,8,9,8,9,8,7,9,9,7,9,7,3,8,7,8,5,5,8,4,7,8,7,7,7,5,8,7,0.09,4,2,,8,7,0,b'0',b'1',nao
23,b'female',25,23,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,4,b'Economics',30,5,15,40,5,5,7,9,8,8,8,8,35,10,35,10,10,0,8,9,8,9,8,9,7,9,7,9,7,3,8,7,8,5,5,8,4,7,8,7,7,7,5,8,7,-0.04,4,2,,8,7,0,b'0',b'1',nao
24,b'female',25,24,b'European/Caucasian-American',b'Latino/Hispanic American',b'0',8,4,b'Economics',30,10,20,10,10,20,6,10,8,6,,,35,10,35,10,10,0,8,9,8,9,8,9,10,10,10,10,10,3,8,7,8,5,5,8,4,7,8,7,7,7,5,8,7,-0.14,4,2,,9,,0,b'0',b'1',nao
25,b'female',25,25,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,4,b'Economics',50,0,30,10,0,10,7,6,6,6,6,6,35,10,35,10,10,0,8,9,8,9,8,8,10,10,7,9,9,3,8,7,8,5,5,8,4,7,8,7,7,7,5,8,7,-0.3,4,2,,8,,0,b'0',b'1',nao
26,b'female',25,30,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,4,b'Economics',35,15,25,10,5,10,6,3,5,4,5,4,35,10,35,10,10,0,8,9,8,9,8,8,9,10,7,7,9,3,8,7,8,5,5,8,4,7,8,7,7,7,5,8,7,-0.26,4,2,,8,7,0,b'0',b'0',nao
27,b'female',25,27,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,4,b'Economics',33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,35,10,35,10,10,0,8,9,8,9,8,7,9,9,8,9,7,3,8,7,8,5,5,8,4,7,8,7,7,7,5,8,7,0.29,4,2,,8,7,0,b'0',b'0',nao
28,b'female',25,28,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,4,b'Economics',50,0,25,10,0,15,7,7,6,8,7,7,35,10,35,10,10,0,8,9,8,9,8,9,9,9,9,9,9,3,8,7,8,5,5,8,4,7,8,7,7,7,5,8,7,-0.15,4,2,,9,7,0,b'0',b'1',nao
29,b'female',25,24,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,4,b'Economics',100,0,0,0,0,0,5,6,8,5,8,6,35,10,35,10,10,0,8,9,8,9,8,8,7,9,7,9,7,3,8,7,8,5,5,8,4,7,8,7,7,7,5,8,7,-0.47,4,2,,8,7,0,b'0',b'0',nao
30,b'female',23,27,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Law',35,20,20,20,0,5,6,7,8,7,7,5,20,20,20,20,10,10,7,8,9,7,8,4,10,8,5,8,7,1,1,6,7,6,7,7,5,7,7,9,7,8,7,1,8,-0.18,1,2,2,6,7,0,b'0',b'0',nao
31,b'female',23,22,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Law',60,0,0,40,0,0,6,5,10,6,6,5,20,20,20,20,10,10,7,8,9,7,8,8,7,8,10,7,8,1,1,6,7,6,7,7,5,7,7,9,7,8,7,1,8,-0.18,1,2,2,8,1,1,b'0',b'0',nao
32,b'female',23,22,b'European/Caucasian-American',b'Asian/Pacific Islander/Asian-American',b'0',1,1,b'Law',19,18,19,18,14,12,10,10,10,10,10,10,20,20,20,20,10,10,7,8,9,7,8,4,7,8,8,6,7,1,1,6,7,6,7,7,5,7,7,9,7,8,7,1,8,0.05,1,2,2,4,1,0,b'0',b'1',nao
33,b'female',23,23,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Law',30,5,15,40,5,5,7,7,7,9,9,9,20,20,20,20,10,10,7,8,9,7,8,8,10,7,10,7,10,1,1,6,7,6,7,7,5,7,7,9,7,8,7,1,8,-0.18,1,2,2,8,10,1,b'1',b'1',sim
34,b'female',23,24,b'European/Caucasian-American',b'Latino/Hispanic American',b'0',1,1,b'Law',30,10,20,10,10,20,8,8,9,8,8,9,20,20,20,20,10,10,7,8,9,7,8,6,9,8,9,8,9,1,1,6,7,6,7,7,5,7,7,9,7,8,7,1,8,0.21,1,2,2,7,7,0,b'0',b'1',nao
35,b'female',23,25,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Law',50,0,30,10,0,10,6,6,7,7,8,7,20,20,20,20,10,10,7,8,9,7,8,5,10,8,4,8,2,1,1,6,7,6,7,7,5,7,7,9,7,8,7,1,8,0.37,1,2,2,4,3,0,b'0',b'1',nao
36,b'female',23,30,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Law',35,15,25,10,5,10,7,6,3,5,6,5,20,20,20,20,10,10,7,8,9,7,8,7,10,10,7,10,5,1,1,6,7,6,7,7,5,7,7,9,7,8,7,1,8,0.35,1,2,2,5,1,0,b'0',b'1',nao
37,b'female',23,27,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Law',33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,20,20,20,20,10,10,7,8,9,7,8,5,9,9,5,9,7,1,1,6,7,6,7,7,5,7,7,9,7,8,7,1,8,0.15,1,2,2,6,6,0,b'0',b'0',nao
38,b'female',23,28,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Law',50,0,25,10,0,15,7,7,7,10,9,10,20,20,20,20,10,10,7,8,9,7,8,9,8,10,10,7,8,1,1,6,7,6,7,7,5,7,7,9,7,8,7,1,8,-0.47,1,2,2,8,8,0,b'1',b'1',sim
39,b'female',23,24,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Law',100,0,0,0,0,0,7,8,8,7,8,7,20,20,20,20,10,10,7,8,9,7,8,8,9,10,10,8,8,1,1,6,7,6,7,7,5,7,7,9,7,8,7,1,8,-0.19,1,2,2,10,8,0,b'1',b'0',nao
40,b'female',21,27,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,1,b'Law',35,20,20,20,0,5,6,8,8,8,7,6,20,5,25,25,10,15,6,3,6,10,8,5,8,8,2,2,2,7,4,7,7,6,8,6,6,6,8,6,6,3,7,8,3,-0.43,7,10,,7,5,0,b'0',b'0',nao
41,b'female',21,22,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,1,b'Law',60,0,0,40,0,0,6,7,10,7,6,5,20,5,25,25,10,15,6,3,6,10,8,8,6,6,5,5,5,7,4,7,7,6,8,6,6,6,8,6,6,3,7,8,3,0,7,10,,6,4,1,b'0',b'0',nao
42,b'female',21,22,b'European/Caucasian-American',b'Asian/Pacific Islander/Asian-American',b'0',8,1,b'Law',19,18,19,18,14,12,10,10,10,10,10,10,20,5,25,25,10,15,6,3,6,10,8,4,6,8,8,6,5,7,4,7,7,6,8,6,6,6,8,6,6,3,7,8,3,-0.17,7,10,,6,5,1,b'0',b'1',nao
43,b'female',21,23,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,1,b'Law',30,5,15,40,5,5,6,8,6,8,10,10,20,5,25,25,10,15,6,3,6,10,8,8,5,5,7,7,9,7,4,7,7,6,8,6,6,6,8,6,6,3,7,8,3,0.08,7,10,,8,2,1,b'1',b'1',sim
44,b'female',21,24,b'European/Caucasian-American',b'Latino/Hispanic American',b'0',8,1,b'Law',30,10,20,10,10,20,5,9,9,7,9,5,20,5,25,25,10,15,6,3,6,10,8,6,7,7,5,4,8,7,4,7,7,6,8,6,6,6,8,6,6,3,7,8,3,-0.16,7,10,,7,4,0,b'0',b'0',nao
45,b'female',21,25,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,1,b'Law',50,0,30,10,0,10,5,8,7,7,7,7,20,5,25,25,10,15,6,3,6,10,8,5,6,7,5,7,8,7,4,7,7,6,8,6,6,6,8,6,6,3,7,8,3,0.06,7,10,,7,3,0,b'1',b'0',nao
46,b'female',21,30,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,1,b'Law',35,15,25,10,5,10,2,3,4,4,5,3,20,5,25,25,10,15,6,3,6,10,8,6,6,8,5,5,6,7,4,7,7,6,8,6,6,6,8,6,6,3,7,8,3,-0.05,7,10,,6,3,0,b'1',b'0',nao
47,b'female',21,27,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,1,b'Law',33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,20,5,25,25,10,15,6,3,6,10,8,5,5,7,6,7,5,7,4,7,7,6,8,6,6,6,8,6,6,3,7,8,3,0.07,7,10,,6,4,0,b'1',b'0',nao
48,b'female',21,28,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,1,b'Law',50,0,25,10,0,15,5,9,9,9,9,6,20,5,25,25,10,15,6,3,6,10,8,7,5,7,8,7,9,7,4,7,7,6,8,6,6,6,8,6,6,3,7,8,3,-0.13,7,10,,9,4,0,b'1',b'1',sim
49,b'female',21,24,b'European/Caucasian-American',b'European/Caucasian-American',b'1',8,1,b'Law',100,0,0,0,0,0,3,10,7,7,10,5,20,5,25,25,10,15,6,3,6,10,8,9,6,7,9,6,5,7,4,7,7,6,8,6,6,6,8,6,6,3,7,8,3,-0.06,7,10,,10,3,0,b'1',b'0',nao
50,b'female',23,27,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',1,1,b'law',35,20,20,20,0,5,7,9,8,9,8,4,10,25,20,25,5,15,5,7,8,9,5,6,9,7,6,7,6,10,8,9,7,8,7,9,2,9,2,5,6,6,4,1,1,0.33,4,3,4,6,6,0,b'1',b'0',nao
51,b'female',23,22,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',1,1,b'law',60,0,0,40,0,0,6,8,10,6,7,6,10,25,20,25,5,15,5,7,8,9,5,6,9,9,6,8,2,10,8,9,7,8,7,9,2,9,2,5,6,6,4,1,1,0.37,4,3,4,7,6,0,b'1',b'0',nao
52,b'female',23,22,b'Asian/Pacific Islander/Asian-American',b'Asian/Pacific Islander/Asian-American',b'1',1,1,b'law',19,18,19,18,14,12,10,10,10,10,10,10,10,25,20,25,5,15,5,7,8,9,5,4,7,9,4,3,2,10,8,9,7,8,7,9,2,9,2,5,6,6,4,1,1,-0.51,4,3,4,6,2,1,b'0',b'1',nao
53,b'female',23,23,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',1,1,b'law',30,5,15,40,5,5,6,8,8,7,9,8,10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,8,10,8,9,7,8,7,9,2,9,2,5,6,6,4,1,1,0.12,4,3,4,9,4,0,b'1',b'1',sim
54,b'female',23,24,b'Asian/Pacific Islander/Asian-American',b'Latino/Hispanic American',b'0',1,1,b'law',30,10,20,10,10,20,9,7,9,7,9,6,10,25,20,25,5,15,5,7,8,9,5,5,4,8,8,4,2,10,8,9,7,8,7,9,2,9,2,5,6,6,4,1,1,0.35,4,3,4,4,3,1,b'0',b'1',nao
55,b'female',23,25,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',1,1,b'law',50,0,30,10,0,10,6,6,8,8,8,7,10,25,20,25,5,15,5,7,8,9,5,3,7,6,1,1,1,10,8,9,7,8,7,9,2,9,2,5,6,6,4,1,1,0.19,4,3,4,2,2,0,b'0',b'1',nao
56,b'female',23,30,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',1,1,b'law',35,15,25,10,5,10,5,6,8,4,5,F,10,25,20,25,5,15,5,7,8,9,5,8,8,8,8,3,4,10,8,9,7,8,7,9,2,9,2,5,6,6,4,1,1,0.47,4,3,4,8,7,0,b'1',b'0',nao
57,b'female',23,27,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',1,1,b'law',33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,10,25,20,25,5,15,5,7,8,9,5,4,8,9,2,8,3,10,8,9,7,8,7,9,2,9,2,5,6,6,4,1,1,0.03,4,3,4,5,5,0,b'0',b'0',nao
58,b'female',23,28,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',1,1,b'law',50,0,25,10,0,15,6,7,7,6,6,6,10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,9,10,8,9,7,8,7,9,2,9,2,5,6,6,4,1,1,0.46,4,3,4,9,6,0,b'1',b'1',sim
59,b'female',23,24,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',1,1,b'law',100,0,0,0,0,0,7,10,10,6,10,7,10,25,20,25,5,15,5,7,8,9,5,8,9,9,9,10,7,10,8,9,7,8,7,9,2,9,2,5,6,6,4,1,1,0.43,4,3,4,9,8,0,b'1',b'0',nao
60,b'female',22,27,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',35,20,20,20,0,5,7,8,8,8,7,7,15,15,25,20,15,10,6,6,5,7,7,4,8,8,5,7,4,5,3,4,10,10,10,2,3,8,8,10,10,10,10,10,10,0.19,7,3,2,7,4,0,b'0',b'0',nao
61,b'female',22,22,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',60,0,0,40,0,0,7,9,10,6,6,5,15,15,25,20,15,10,6,6,5,7,7,6,6,8,4,9,4,5,3,4,10,10,10,2,3,8,8,10,10,10,10,10,10,0.21,7,3,2,7,3,1,b'0',b'1',nao
62,b'female',22,22,b'Asian/Pacific Islander/Asian-American',b'Asian/Pacific Islander/Asian-American',b'1',2,4,b'Law',19,18,19,18,14,12,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7,3,6,8,7,8,8,5,3,4,10,10,10,2,3,8,8,10,10,10,10,10,10,0.52,7,3,2,7,8,1,b'0',b'1',nao
63,b'female',22,23,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',30,5,15,40,5,5,8,8,9,8,9,9,15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,6,5,3,4,10,10,10,2,3,8,8,10,10,10,10,10,10,-0.46,7,3,2,8,6,1,b'1',b'1',sim
64,b'female',22,24,b'Asian/Pacific Islander/Asian-American',b'Latino/Hispanic American',b'0',2,4,b'Law',30,10,20,10,10,20,8,7,9,6,9,5,15,15,25,20,15,10,6,6,5,7,7,4,7,7,4,8,5,5,3,4,10,10,10,2,3,8,8,10,10,10,10,10,10,-0.27,7,3,2,5,6,1,b'0',b'1',nao
65,b'female',22,25,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',50,0,30,10,0,10,8,8,8,6,6,6,15,15,25,20,15,10,6,6,5,7,7,4,8,7,4,5,4,5,3,4,10,10,10,2,3,8,8,10,10,10,10,10,10,0.59,7,3,2,5,5,0,b'0',b'1',nao
66,b'female',22,30,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',35,15,25,10,5,10,7,6,5,4,4,3,15,15,25,20,15,10,6,6,5,7,7,7,7,8,7,7,7,5,3,4,10,10,10,2,3,8,8,10,10,10,10,10,10,0.31,7,3,2,8,7,0,b'1',b'0',nao
67,b'female',22,27,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,15,15,25,20,15,10,6,6,5,7,7,5,7,8,5,9,5,5,3,4,10,10,10,2,3,8,8,10,10,10,10,10,10,0.08,7,3,2,5,7,0,b'0',b'1',nao
68,b'female',22,28,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',50,0,25,10,0,15,9,7,9,9,9,10,15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,6,5,3,4,10,10,10,2,3,8,8,10,10,10,10,10,10,-0.34,7,3,2,6,6,0,b'1',b'1',sim
69,b'female',22,24,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',100,0,0,0,0,0,7,6,8,6,8,7,15,15,25,20,15,10,6,6,5,7,7,8,6,7,7,8,6,5,3,4,10,10,10,2,3,8,8,10,10,10,10,10,10,-0.16,7,3,2,7,5,0,b'1',b'0',nao
70,b'female',25,27,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Masters in Public Administration',35,20,20,20,0,5,8,7,6,6,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,7,4,7,5,2,2,1,10,9,9,3,2,8,10,9,9,6,6,8,6,-0.03,6,10,,4,5,0,b'1',b'0',nao
71,b'female',25,22,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Masters in Public Administration',60,0,0,40,0,0,8,8,10,7,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,7,7,9,6,7,2,2,1,10,9,9,3,2,8,10,9,9,6,6,8,6,-0.11,6,10,,8,7,0,b'1',b'1',sim
72,b'female',25,22,b'European/Caucasian-American',b'Asian/Pacific Islander/Asian-American',b'0',1,1,b'Masters in Public Administration',19,18,19,18,14,12,10,10,10,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,8,6,7,7,2,2,1,10,9,9,3,2,8,10,9,9,6,6,8,6,0.42,6,10,,5,5,0,b'1',b'1',sim
73,b'female',25,23,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Masters in Public Administration',30,5,15,40,5,5,8,8,8,8,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,6,5,6,6,5,2,2,1,10,9,9,3,2,8,10,9,9,6,6,8,6,-0.4,6,10,,5,6,0,b'1',b'1',sim
74,b'female',25,24,b'European/Caucasian-American',b'Latino/Hispanic American',b'0',1,1,b'Masters in Public Administration',30,10,20,10,10,20,9,9,8,9,,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,2,1,10,9,9,3,2,8,10,9,9,6,6,8,6,-0.23,6,10,,6,5,0,b'1',b'1',sim
75,b'female',25,25,b'European/Caucasian-American',b'European/Caucasian-American',b'1',1,1,b'Masters in Public Administration',50,0,30,10,0,10,8,7,7,7,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,2,1,10,9,9,3,2,8,10,9,9,6,6,8,6,0.28,6,10,,6,5,0,b'1',b'1',sim
